Area,Building_Type,Construction_Year,Number_of_Floors,Energy_Consumption_Per_SqM,Water_Usage_Per_Building,Waste_Recycled_Percentage,Occupancy_Rate,Indoor_Air_Quality,Smart_Devices_Count,Green_Certified,Maintenance_Resolution_Time,Last_Inspection_Date,Maintenance_Priority,Energy_Per_SqM,Number_of_Residents,Electricity_Bill
Whitefield,Residential,1987,10,50,607.3003701,35.77519823,82.16549365,7.695143604,10,1,5.490756906,29-12-2023,Low,286.0084583,175,14283.82229
Electronic City,Institutional,2022,7,50,200,11.49036785,68.05903375,17.65538521,4,0,6.761557882,14-08-2023,Medium,181.2833674,262,20917.67722
Jayanagar,Residential,2020,3,50,217.4508206,18.87759284,52.1118369,1.608881449,6,0,5.69326243,22-02-2024,Medium,107.1421222,375,14450.73181
HSR Layout,Industrial,1995,1,193.9642798,201.3256499,42.75395598,97.33014516,5.964617076,4,0,6.079601967,11-01-2023,High,96.4553751,412,9101.802828
Koramangala,Commercial,1993,2,157.375028,329.7615711,10.84571385,75.31288803,1.979229084,13,1,10.04556678,26-10-2023,High,174.1236208,286,8646.217725
HSR Layout,Residential,1977,6,50,200,13.20926244,93.90757888,7.572197888,5,0,14.02635451,02-07-2023,Medium,138.8268607,155,14141.31996
Hebbal,Industrial,2006,4,80.90720543,200,29.62830298,59.71850526,41.61880744,1,0,5.077540018,15-02-2023,Medium,185.7000247,69,19578.6991
Whitefield,Residential,1982,4,127.4613054,200,35.04764235,93.72271635,8.528673591,5,0,8.206945694,04-03-2024,Medium,173.6618812,108,11674.54026
Whitefield,Institutional,2007,7,60.75992705,365.9095043,38.27218462,82.68173087,16.50607508,13,0,5.123172333,06-03-2024,Medium,146.3585544,423,18658.93243
Banashankari,Industrial,2004,12,56.57095576,200,25.82074131,75.59623552,11.36135781,5,0,5.301466972,30-06-2024,Low,107.6603141,35,15503.67623
Whitefield,Institutional,1981,9,50,335.7355228,41.0835622,85.99993254,12.28363426,1,0,10.02336569,04-10-2021,Low,74.25763877,359,18031.04888
BTM Layout,Residential,2013,12,50,1051.089117,34.71279734,68.88632174,69.84787491,7,0,10.58059199,05-06-2024,High,127.6742524,44,13551.56414
Indiranagar,Industrial,2019,12,170.6342419,200,36.84488391,95.03222285,7.023927241,6,0,12.51784357,01-05-2022,Medium,192.8199397,143,15915.04975
Indiranagar,Industrial,2005,9,173.0080821,334.9737252,28.29522503,86.76862797,19.74094259,4,0,7.389997983,30-05-2023,Low,160.7046872,211,19693.71588
Yelahanka,Industrial,1971,5,75.20024396,200,19.08582876,69.62299891,10.89670465,1,0,14.24974827,24-05-2024,Low,87.71306106,478,14914.14281
Banashankari,Residential,2016,11,50,607.8094867,5.703267471,79.06859156,1.261909785,9,1,5.627315307,21-02-2023,Low,158.6590463,486,12375.7261
BTM Layout,Commercial,1999,5,50,200,29.83008343,80.58093194,13.44066637,4,0,6.005037281,15-12-2021,Low,169.265869,416,5911.273063
Indiranagar,Commercial,2015,5,97.08490723,353.9069629,7.775525425,77.04773988,33.56968668,6,1,5.493281776,08-10-2023,Medium,105.8071282,488,17707.66248
Jayanagar,Institutional,1983,4,170.5573012,546.2612585,17.97053624,97.6649838,2.079517687,2,0,12.03014309,20-07-2022,Medium,157.6862553,285,11141.72703
BTM Layout,Commercial,1998,2,163.5849427,868.0297162,6.42929845,95.0309526,1.442638307,5,0,5.904042937,27-05-2022,Low,152.9104359,447,12397.25441
Hebbal,Residential,2021,1,113.5171644,344.8908705,39.84282864,96.77870696,3.336009182,7,0,5.579586878,08-05-2023,Medium,92.85148511,6,9645.713522
Malleshwaram,Industrial,1988,7,77.04830202,206.2537838,15.42737372,85.76943372,28.912406,6,0,8.844014939,21-12-2022,Low,167.889368,218,13849.57619
HSR Layout,Industrial,2023,10,50,288.5804567,53.95144319,75.95311681,25.74675379,1,0,5.270989819,07-11-2023,Low,178.0392263,27,25487.71958
BTM Layout,Residential,2014,9,50,609.5498728,29.66697132,52.51244357,16.64900194,4,0,5.154310215,30-12-2021,High,204.1525622,227,16760.19555
HSR Layout,Industrial,1974,8,171.6172875,253.6167276,51.97513306,66.18396789,12.63074904,3,1,5.383340167,16-10-2021,High,202.6901026,284,11779.30921
Jayanagar,Commercial,2022,3,69.93704602,200,7.959360175,81.14457305,43.84339414,11,0,5.000803076,27-09-2021,Medium,81.1165316,389,12718.48304
Malleshwaram,Institutional,2020,1,50,801.8716522,39.6664732,87.5787044,29.10841544,5,0,9.88839057,04-02-2024,High,103.108748,425,7806.35125
Yelahanka,Residential,2020,6,50,350.8972608,24.77024117,71.795356,33.42012379,6,1,8.170019794,18-05-2022,High,175.7517634,56,9346.94038
Yelahanka,Industrial,1996,1,81.68717905,338.5792632,34.69396462,89.00349319,33.56100656,2,0,5.816865233,24-07-2022,Medium,175.6892975,368,8552.416403
Electronic City,Residential,2013,7,50,200,14.84833169,76.56090685,20.58455055,9,0,5.924522897,14-10-2021,High,175.7523843,310,16351.66042
Banashankari,Commercial,2001,2,50,322.6610981,27.41937024,74.97027051,12.2503252,3,0,12.42430035,17-07-2024,Medium,300,336,17233.5595
BTM Layout,Industrial,1978,5,59.67733846,200,37.45841008,60.41498953,40.00192654,5,0,7.614535721,06-04-2023,High,178.5445255,105,15387.99235
Banashankari,Industrial,2010,11,88.2986465,316.0053407,31.80749091,93.8507492,52.07580857,4,0,9.913669371,03-09-2023,High,206.778282,18,16849.20345
Whitefield,Industrial,1989,11,79.15811116,200,36.57573842,71.42986967,0.481879723,6,0,7.225675151,20-09-2021,High,197.7000882,205,11168.98455
HSR Layout,Industrial,1985,10,50,321.7476955,32.44696815,82.2182319,1.058626879,10,0,5.946991563,25-10-2023,Medium,182.5695626,43,9258.615828
HSR Layout,Residential,1986,8,93.40629667,1500,44.59510677,58.64781054,63.7588336,6,0,27.32831935,06-02-2022,High,134.2365378,89,9226.915878
Whitefield,Commercial,2012,4,50,200,10.93710597,77.86088576,6.491364613,5,0,8.204417453,16-09-2023,Low,187.948461,74,9005.369643
Electronic City,Commercial,1979,2,50,1133.958934,22.97196153,55.82333496,41.32962811,4,0,5.479093771,07-08-2023,High,111.3587393,157,16793.37353
Koramangala,Institutional,2015,1,102.9268164,200,4.45350378,92.13768509,9.846461103,2,0,6.896698747,13-10-2023,Medium,138.1590697,266,25068.49175
Hebbal,Residential,1997,4,78.65803607,613.8100383,5.015787656,89.79820917,2.536224645,6,0,6.424362451,21-11-2021,High,125.7318226,134,9763.6298
BTM Layout,Commercial,2020,3,141.8967058,457.5090171,3.580357825,63.12937392,1.677269287,5,1,5.836156337,04-08-2022,High,154.093707,464,13290.27094
HSR Layout,Residential,1994,11,80.38599661,251.1165318,15.95963611,62.44497744,3.404094834,5,0,19.67528659,17-05-2024,Low,265.7329283,89,16014.4669
Hebbal,Residential,1974,5,63.00332292,402.3380358,24.38328139,92.39860044,5.750793515,5,0,15.32608415,17-05-2023,Low,56.63674037,236,13604.95989
HSR Layout,Commercial,1998,2,50,632.3907303,22.13303199,86.50298884,13.40887154,8,0,5.768348082,13-11-2021,High,184.3130095,132,16664.751
Koramangala,Institutional,2008,8,50,200,29.97716428,53.58594484,24.17956626,4,1,6.556900493,21-04-2023,Medium,69.36420644,229,12123.0456
Whitefield,Institutional,2000,2,50,200,28.0660535,70.44487798,85.95161643,2,0,11.14357244,01-04-2024,Medium,126.4034067,34,11598.32744
Yelahanka,Institutional,2007,5,50,330.4188952,28.60820653,67.36431872,11.65025469,3,0,5.810624926,13-02-2023,Low,204.4475298,83,14088.29818
Koramangala,Industrial,1995,13,250,494.8373529,18.05592159,87.28266487,14.60389873,1,0,8.478005657,13-07-2022,Low,153.214001,417,16632.80715
HSR Layout,Commercial,2004,7,50,431.0050106,6.320308324,98.58307319,14.75518118,8,1,9.934597281,16-04-2023,High,96.1127611,132,21412.46019
Whitefield,Industrial,2002,8,166.9541408,479.5696429,7.281899909,48.70521618,15.50599766,13,0,9.243926436,12-05-2024,Medium,114.2348145,428,16883.17688
Koramangala,Industrial,2014,8,74.80007893,200,17.27236676,85.54277967,14.58546508,5,0,10.0459256,11-06-2023,Medium,183.9798874,354,13739.21575
Electronic City,Industrial,1996,11,118.786894,510.8514319,61.25770239,73.21970208,0.176269599,5,0,10.05089905,12-09-2021,Medium,113.4816684,204,19153.96962
Whitefield,Residential,2004,5,52.38264933,200,18.40985307,75.85202744,0.034526227,6,0,25.51477184,30-07-2022,Medium,160.8229295,287,20000.50449
BTM Layout,Residential,1972,2,64.5116927,235.9006885,4.69582209,77.67255726,2.055417835,4,0,6.523503994,05-06-2022,Low,152.278592,336,13483.26541
HSR Layout,Commercial,2020,11,50.8720075,200,42.20447728,77.37076152,2.141831449,5,1,15.19524004,20-12-2021,Low,117.4199826,450,14270.23501
Jayanagar,Commercial,1993,9,50,200,6.013776535,97.52737701,24.40861045,16,0,5.073765238,19-01-2022,High,257.1972045,497,12864.48492
Yelahanka,Residential,2014,7,96.13213523,200,5.502236332,67.61192645,4.586151009,12,0,6.199911943,04-05-2024,Medium,181.6959511,442,19104.51653
Banashankari,Residential,2021,3,50,200,31.10005962,90.89574764,45.02151634,1,0,5.167654313,18-05-2024,High,50,316,15370.95285
HSR Layout,Industrial,2004,6,50,356.6929506,36.30960954,46.19839895,52.79092126,1,0,9.206142001,14-10-2022,High,159.3227157,258,7972.405344
BTM Layout,Institutional,2008,7,77.77265897,200,43.32725763,55.30856883,74.50534082,6,0,5.360475396,09-01-2024,High,116.9106768,292,17030.79415
Indiranagar,Institutional,2010,6,50,200,13.19249822,85.15350136,55.96430342,3,0,13.64451674,05-09-2021,High,192.6216667,454,22448.17642
Hebbal,Institutional,1975,3,211.581236,200,8.858422254,61.14238651,6.346016772,4,0,9.144070478,25-01-2023,Low,110.3739631,125,22843.01053
Hebbal,Institutional,1976,8,230.817181,200,48.2354817,76.79434542,14.25789145,5,0,5.097938881,15-02-2023,Low,144.2631779,444,12604.46452
Banashankari,Institutional,2019,1,184.7632413,200,29.05868997,77.40999141,3.858470476,10,0,10.19166369,17-08-2023,Medium,175.2493639,151,11516.95158
HSR Layout,Industrial,1985,5,50,200,17.2025436,97.95134385,32.81956802,20,1,14.35279233,28-06-2022,Medium,193.2877597,359,24489.34038
Banashankari,Commercial,2012,8,50,277.4848786,47.186526,74.59411701,43.86236731,11,0,9.343389246,24-06-2022,Low,89.98517965,247,22833.51861
Malleshwaram,Residential,2012,8,197.6642593,330.9784425,43.04296088,78.47338847,38.11498746,4,1,5.103868333,21-07-2022,Medium,133.2749382,175,17336.51351
HSR Layout,Industrial,1992,5,50,289.873119,14.02701318,88.93020209,11.36086721,6,0,14.16410568,01-03-2024,Low,126.2527344,372,6439.038199
Whitefield,Institutional,1980,4,250,200,26.60719932,72.28275977,28.43212169,8,0,10.51931482,14-09-2021,Low,117.3335384,492,11968.39707
Whitefield,Residential,2011,5,248.5301607,200,12.1871994,86.49163142,2.053486303,3,0,6.717679509,11-03-2023,Medium,238.272712,357,9532.206572
Yelahanka,Industrial,2009,10,143.8040263,597.0638166,11.9261032,98.04382614,0.821539929,5,0,6.420349949,29-06-2022,Medium,170.2490855,302,24061.78146
Malleshwaram,Institutional,1972,1,50,219.6174164,15.04833251,62.31355153,27.98649087,3,0,7.434132769,09-05-2023,Low,86.95580228,80,7372.100374
Electronic City,Industrial,2006,3,50,200,31.58644589,81.91301305,11.08006595,3,1,14.59567586,15-09-2021,Low,195.8930974,107,24018.24298
Malleshwaram,Residential,2011,13,142.8544989,200,33.49595175,65.04184766,100,6,1,6.016516465,29-04-2022,Low,256.1078099,300,14472.37586
Malleshwaram,Commercial,2013,12,50,200,7.689874867,36.12589435,2.046285777,4,0,5.361141595,16-08-2022,Low,201.623263,403,9011.503246
Banashankari,Institutional,2011,11,50,200,32.5062243,71.71084633,38.70719543,9,1,14.47598086,01-09-2022,Low,74.0315017,305,19933.99218
Koramangala,Residential,1995,2,61.0302744,200,8.967986035,93.81464789,13.07787803,1,0,5.089200842,14-11-2021,Medium,125.7882964,344,18147.47078
Yelahanka,Residential,2018,2,206.3470103,260.3733165,38.63521628,83.42157671,35.10664487,9,1,17.39744546,24-11-2021,Medium,213.3455575,58,8668.886678
Yelahanka,Commercial,1991,11,89.31191983,228.8151313,48.43448903,49.5423231,33.97929798,1,0,6.293460445,25-07-2024,Medium,114.6165267,91,14873.78471
Yelahanka,Industrial,2020,6,63.30842523,280.8754075,27.48008891,92.9328341,49.53686526,8,1,7.669043902,15-10-2021,Low,172.1909714,135,21877.84196
Whitefield,Commercial,1997,13,50,434.3019386,19.81494514,95.84854379,7.072164773,6,0,5.484379217,28-10-2023,High,188.7317027,350,12950.48239
Koramangala,Commercial,1976,9,71.58980366,502.9711204,32.31515302,71.28784506,59.83454746,3,1,16.70876435,19-02-2022,Medium,103.6534764,169,23398.64238
Malleshwaram,Industrial,1970,7,250,379.8854231,8.134072281,51.36259921,3.289639697,4,0,10.87054564,03-09-2023,High,147.0237322,334,11276.08575
Electronic City,Industrial,1976,13,50,933.8396175,40.19090012,68.46075553,1.710477552,3,0,18.62429195,24-04-2023,Medium,50,122,6889.868109
Whitefield,Industrial,1986,10,54.78714937,200,50.67647837,90.12261242,11.29914366,9,0,9.669598182,03-03-2024,High,98.78061793,236,15226.07859
HSR Layout,Residential,1984,4,157.3956478,200,36.03499823,68.04329168,35.24280584,5,1,5.704336364,19-09-2021,Medium,137.3715924,399,7696.786502
HSR Layout,Residential,2002,9,101.2525686,200,36.45974548,88.3667859,12.82708319,9,0,6.307167761,10-01-2023,Medium,87.6108409,76,15624.43645
HSR Layout,Institutional,2017,1,89.5555819,312.7898779,47.70557053,93.70168307,35.35539212,6,0,7.490643704,01-06-2023,Medium,231.6205652,309,15025.71571
BTM Layout,Institutional,2003,7,90.92156672,684.924603,32.06101963,89.09257206,26.16348027,3,0,8.655186202,05-10-2023,High,78.4929311,477,11205.3673
Banashankari,Commercial,2005,9,50,200,6.914103109,83.11433874,4.699980666,6,1,18.86845733,22-07-2023,High,127.9977757,23,24393.4124
Indiranagar,Commercial,2007,7,50,785.3307499,26.49039191,89.02653447,59.47222511,2,0,6.75244851,20-09-2023,Medium,156.5370289,333,14980.12164
Malleshwaram,Institutional,2014,9,124.303088,200,31.17813888,99.24944795,1.254135593,4,0,9.989355495,28-07-2022,Medium,222.0636645,73,19321.82673
Indiranagar,Commercial,2006,11,124.5996149,817.4186769,20.43093752,84.44604002,45.71056927,3,1,24.49021788,09-12-2023,Medium,78.20689244,88,19643.58916
Jayanagar,Industrial,1984,8,151.3462536,200,24.97634223,88.9722827,7.260859221,1,0,5.566518577,24-04-2023,High,208.1581876,103,23805.05615
Banashankari,Residential,1998,10,183.3461971,200,30.41358951,56.79901442,13.86886782,2,0,14.38444025,11-04-2022,Low,150.5116531,94,8952.906661
HSR Layout,Institutional,1993,4,53.70699277,200,10.32156465,86.38673267,10.97580744,2,0,6.99592313,01-10-2022,High,100.9245674,449,6212.63689
Whitefield,Residential,1995,8,52.21382832,200,6.306721357,89.95397547,3.770846681,10,1,10.51850014,19-12-2023,Low,173.1051737,316,23620.10358
Banashankari,Institutional,1999,5,120.0712449,200,30.86930175,78.85779003,8.867915307,6,0,6.228036108,25-11-2021,Low,159.9529848,266,17905.60473
BTM Layout,Residential,2019,2,78.72893062,200,28.34014059,87.90865821,4.287007405,3,0,6.450870238,01-12-2021,Medium,119.9891561,253,15631.55507
Whitefield,Institutional,2013,7,90.79129864,487.404906,49.84763182,98.9969004,4.560269691,7,1,5.092115435,30-11-2021,High,153.4901042,358,14333.51217
Koramangala,Residential,2007,12,119.1464606,232.4121414,18.09983488,81.64581364,4.141881618,8,0,27.7013498,03-06-2023,High,130.7343202,58,13446.76559
Yelahanka,Industrial,2014,1,165.5492607,200,22.98626651,87.54087497,13.42839404,13,1,12.5012975,12-09-2023,Low,155.6758673,431,19305.83118
BTM Layout,Institutional,2002,9,50,282.7394283,17.35693609,91.32193072,31.98295749,5,0,5.334214992,19-04-2022,Low,183.1065337,399,7781.149722
Koramangala,Institutional,1979,10,50,377.7935174,59.5547474,97.86984979,16.83155328,4,0,72,23-06-2024,Low,229.3008408,9,17386.65728
Whitefield,Institutional,1992,9,50,200,39.45052742,89.94880618,44.7371809,8,0,8.629397246,27-03-2023,High,88.10922506,13,20156.58031
HSR Layout,Industrial,1971,13,64.756052,200,27.63451805,90.22079035,20.24196758,5,0,13.97930179,11-05-2024,High,256.6516687,407,18716.26053
Indiranagar,Residential,2000,10,50,200,45.49964517,80.17039758,23.38113169,4,0,5.232619507,20-11-2023,High,52.39561002,417,14643.04682
Malleshwaram,Institutional,1976,11,50,200,28.61871208,91.22283146,22.02875933,1,0,6.787631054,13-09-2023,High,142.4107452,393,14986.68906
Banashankari,Residential,1988,10,58.67209393,342.8801078,12.9000234,79.03849593,11.93708397,7,1,9.465797726,06-11-2023,High,179.4158603,131,21428.46635
Banashankari,Industrial,1996,3,50,200,35.7971829,84.46580353,23.38104842,2,0,5.382240285,23-09-2021,Medium,164.0495934,222,17909.60095
HSR Layout,Commercial,1975,2,67.02243976,223.4353499,17.4546953,66.57758465,1.445129822,3,1,7.507355969,19-05-2024,Low,118.865024,329,23775.90502
Malleshwaram,Institutional,1977,13,50,370.3772998,35.92172095,92.22489833,39.30105008,3,0,7.151537695,12-10-2023,High,139.5938875,372,6286.516491
Koramangala,Industrial,2023,8,50,200,31.89158612,53.64979621,30.08464108,14,0,5.845146093,15-04-2024,Medium,125.3499533,153,19533.57842
Indiranagar,Residential,2016,3,129.7013527,251.3216618,36.98147361,82.09694412,5.626843131,3,1,6.263926329,02-09-2023,Medium,120.5317622,381,10943.65633
Malleshwaram,Institutional,1979,3,50,200,31.98201478,76.12397045,29.22315612,1,0,26.21395637,26-02-2023,Medium,192.4801049,367,14635.44516
Koramangala,Residential,1992,4,50,988.4588915,23.09671249,86.54419336,0.254463982,2,1,6.20224964,05-08-2023,High,167.8507743,472,21880.03243
Malleshwaram,Commercial,1989,13,55.39901912,200,19.32352231,97.85872446,4.898750799,6,0,5.833118548,14-09-2021,High,115.3545202,480,9988.23945
Jayanagar,Institutional,1991,4,110.2235955,491.9576152,18.16145532,93.34090874,1.347110796,6,0,7.918912234,30-04-2022,Low,194.9799938,71,25578.06592
Banashankari,Institutional,1999,3,50,239.703375,13.3899021,69.18417937,30.30319408,5,0,9.484924512,30-06-2024,Low,165.364976,420,20528.30364
Jayanagar,Residential,2020,1,73.1414714,200,17.19767458,93.8264329,28.20142826,2,0,10.37935514,05-01-2023,High,190.6431059,345,17896.06471
Malleshwaram,Institutional,1983,7,50,300.8417951,12.61611424,94.57743723,33.60107312,9,0,10.96493541,14-02-2024,Low,181.4814421,20,10339.81567
BTM Layout,Industrial,2003,2,50,907.260156,46.31007894,79.08419248,0.089835324,3,0,5.125878814,22-05-2023,Medium,108.5502495,81,14101.36818
Yelahanka,Industrial,2000,11,56.84317055,276.0985268,40.67186747,92.80522475,13.91231356,4,0,6.815494426,31-01-2022,Medium,121.990948,438,13208.10951
Banashankari,Commercial,1992,7,58.3432832,513.0906644,29.00371834,80.39561747,24.40449628,5,0,11.41611317,16-12-2021,High,187.3646803,228,8838.43737
Indiranagar,Industrial,2000,4,76.09030862,646.783959,28.4116477,75.22005857,3.377869458,4,1,16.90451291,25-11-2021,Medium,180.5185133,346,20468.82824
HSR Layout,Commercial,1976,11,97.12204222,200,21.81010562,84.94865032,20.98448764,6,1,8.597063276,24-08-2023,Medium,148.9549203,19,12978.17337
Jayanagar,Residential,1998,3,250,200,31.24873428,86.28055569,1.757182346,2,0,5.180694842,16-05-2023,Low,155.8663692,444,14122.26041
HSR Layout,Residential,2016,10,54.47183394,283.2381194,23.6761144,90.81978206,4.0013829,3,0,6.83429946,19-04-2022,High,213.8832448,165,14374.81358
Koramangala,Commercial,2014,5,50,200,11.88340082,77.77893181,12.91751824,7,0,5.26042101,20-10-2023,Low,120.4214306,368,13929.11948
Hebbal,Industrial,1998,6,118.9240485,549.5144947,45.45028747,79.79225942,21.20121018,4,0,10.84318399,01-08-2023,Medium,177.3548691,387,17652.29395
BTM Layout,Industrial,1990,12,50,690.8449061,34.37393711,57.9954704,3.153416996,4,0,5.221114456,26-09-2021,High,139.8903674,107,11886.63511
Koramangala,Commercial,1974,13,50,200,32.76699589,81.72305216,4.096824577,5,1,5.708879822,13-02-2023,High,139.1159398,377,20091.59297
Electronic City,Commercial,1989,2,50,200,51.39958493,70.59371748,4.574340261,4,0,6.970165592,30-08-2023,Medium,204.9388426,348,12020.26644
Koramangala,Residential,1972,2,50,454.9557887,19.86815023,67.86915762,10.90915351,3,0,7.300246334,06-09-2022,Medium,191.2708174,214,14857.36771
Koramangala,Commercial,2021,7,246.5534942,200,15.30560204,54.49889813,10.27596912,9,1,6.899315018,22-01-2022,High,190.6754818,239,8467.031968
Hebbal,Industrial,2015,9,135.5825732,518.8286777,41.73677494,94.96257689,20.11093247,1,0,7.305961136,20-03-2024,Medium,215.2739404,147,20358.3199
Banashankari,Commercial,1977,7,89.29820496,200,59.97754,98.61426157,42.42834972,2,1,10.16445179,25-04-2023,Medium,151.0501921,181,21629.10358
BTM Layout,Commercial,1971,9,50,330.379651,57.33551452,65.91362344,23.05239937,7,0,6.660537423,25-06-2022,High,184.0976486,430,18579.35751
BTM Layout,Commercial,1991,6,50,200,52.33899631,90.22402088,59.8397102,3,0,8.027886165,10-06-2022,High,134.4866622,336,15852.07134
Indiranagar,Residential,2011,5,50,293.3376207,30.71728015,71.30593807,50.81426415,1,1,6.280606619,11-11-2023,Low,166.2083176,440,14819.28201
Koramangala,Commercial,1976,9,50,200,47.07123323,61.01556662,5.411118465,3,0,6.565712042,29-12-2023,Low,143.4928473,198,7188.825717
BTM Layout,Institutional,2013,8,59.75929862,265.0080312,1.5232649,29.47316864,2.002987732,5,0,8.731843757,05-07-2024,Low,154.8497982,485,8226.291704
Whitefield,Institutional,2021,1,94.03869658,200,54.46628947,67.28238204,84.13021461,6,0,7.520367722,20-06-2023,Medium,179.7578513,287,18752.48016
Indiranagar,Institutional,1980,13,80.95427623,400.5363914,16.00795134,84.20280935,3.3279201,4,1,10.34118992,02-09-2021,Low,109.0889658,53,14096.12454
Whitefield,Industrial,2017,12,50,595.888279,9.772236198,74.50825196,6.422677234,5,0,8.153048386,10-10-2021,Low,254.6193638,369,8203.876114
Hebbal,Industrial,1985,10,232.3577624,200,25.17186875,81.06849749,0.895275672,7,0,12.20285011,01-04-2022,Medium,99.69913093,240,7973.297764
Whitefield,Commercial,2003,10,100.4263054,200,18.55139145,18.18492603,39.59064166,12,0,7.156850299,06-10-2023,Medium,89.29056936,290,18174.56461
Yelahanka,Institutional,1981,9,60.61728614,200,21.69946135,54.61742348,34.92643018,1,0,7.52478563,23-01-2024,Medium,207.9055437,287,19369.87238
HSR Layout,Residential,2005,13,70.9522854,308.1428064,11.52671143,90.72052822,100,5,0,9.470474932,10-08-2023,Low,189.5831347,188,7330.403222
Malleshwaram,Institutional,1980,7,50,280.255492,32.31274221,78.08329734,87.19077506,2,0,5.869248577,07-12-2021,Low,181.2059909,395,15760.3133
Whitefield,Institutional,1991,2,50,237.358624,8.705317648,63.93212132,21.16251514,2,0,6.765054155,20-05-2024,High,181.4172755,484,16939.43859
Hebbal,Industrial,2005,7,50,200,16.87358152,76.22303854,18.58223364,3,0,8.865269146,15-08-2021,Low,149.3876614,6,12081.69771
HSR Layout,Industrial,1997,3,106.3636386,200,14.00295446,56.58464859,14.08751727,12,1,5.09814985,12-10-2021,Low,105.1372814,283,21198.66654
Hebbal,Residential,1999,3,50,270.7728143,13.6812623,91.95414636,6.614184676,7,0,7.110345216,11-12-2023,Medium,153.7902279,263,13276.23991
Hebbal,Industrial,1984,10,50,206.0105145,34.5832173,93.20472827,5.943882498,7,0,8.559105655,30-01-2024,Medium,116.1419144,49,6415.712386
Koramangala,Residential,2021,10,50,1321.539949,15.19868742,88.1443499,5.675618812,3,0,26.29576128,24-11-2021,Low,198.7559867,352,14026.79318
Hebbal,Industrial,1995,10,50,200,11.44730766,65.84812201,4.846714382,1,0,15.10872136,15-11-2023,High,142.6471309,200,21839.84701
Whitefield,Institutional,2010,13,145.0652275,356.3752687,13.44522188,71.78004512,11.00443251,3,1,6.161050937,05-08-2024,Low,108.7251402,60,13272.72626
Malleshwaram,Institutional,1981,2,91.21804588,200,8.032622458,90.75016481,14.64988909,5,0,7.660360389,08-03-2022,Medium,133.9307079,33,9765.607486
Yelahanka,Residential,1981,2,50,200,11.75951987,88.60648228,100,1,0,5.195445974,03-09-2021,High,170.6465727,303,18141.04006
Hebbal,Residential,2010,10,50,379.3268584,25.58557033,97.83473799,34.55488168,12,0,5.961565288,30-03-2022,High,121.8137724,244,16292.00858
Hebbal,Industrial,2012,13,50.73884743,353.7217726,6.661968537,80.27713785,100,7,1,11.43790461,11-07-2022,Low,108.8889802,172,14985.34391
BTM Layout,Industrial,1997,2,50,1421.816042,36.06905538,76.70014613,18.63835746,3,0,5.448452634,11-05-2024,Low,162.1843606,207,17385.62185
Electronic City,Residential,1995,13,50,200,19.09088074,73.57247251,24.4720258,17,0,6.044303483,18-08-2021,High,162.2483286,375,11541.5517
Jayanagar,Residential,1971,5,50,200,18.82093238,72.77268935,15.69674297,4,0,21.14451381,13-03-2022,Medium,124.6528412,283,11999.90209
HSR Layout,Institutional,2017,9,50,386.5748297,46.56266326,59.30114251,8.079147175,9,1,12.83927572,26-04-2023,High,126.4480847,478,18637.60097
Yelahanka,Institutional,2009,6,71.75418247,259.1001751,12.52938933,78.59353187,6.180382798,12,0,11.61116677,24-11-2021,Medium,161.6024969,22,10168.0587
Electronic City,Residential,1982,7,75.6085902,200,10.81151223,88.88772845,100,8,1,14.47219915,19-06-2022,Low,77.59578293,47,23074.52963
HSR Layout,Institutional,1998,5,50,200,28.32265027,78.28144598,100,3,0,10.8656735,21-08-2022,High,79.62681128,349,21146.84592
Jayanagar,Commercial,2007,7,50,200,19.25927537,64.07607394,1.837966998,2,0,5.437638321,20-01-2024,Medium,114.0777889,489,9279.419057
Malleshwaram,Industrial,1997,11,73.73437461,673.8355537,25.4136954,68.78737178,6.51703695,2,1,7.741470023,20-03-2022,Medium,139.3276424,432,22379.04823
Indiranagar,Institutional,1994,8,52.45795895,200,31.23128873,89.70211149,22.03286923,3,0,7.162940793,07-11-2023,High,165.5453783,158,15760.9689
Yelahanka,Commercial,1970,10,145.601209,200,12.30221969,67.91914133,8.248186921,8,0,6.322928826,05-03-2023,Medium,223.7678108,258,21923.93754
Yelahanka,Residential,2015,10,80.6231073,200,6.093332227,77.79555148,18.09474692,5,1,13.19697571,04-12-2021,High,192.8829812,143,15667.13457
Jayanagar,Institutional,1983,8,50,200,34.25196935,83.87509647,5.528957123,4,0,7.311642739,19-04-2023,Low,142.0030735,47,14114.07562
Banashankari,Residential,1983,1,50,200,3.737629051,81.27272997,24.38988817,1,0,5.209470569,18-02-2024,Low,149.0491896,27,13592.68412
Electronic City,Industrial,1987,3,77.12956103,219.6036966,25.31126418,94.66503789,12.68139342,4,0,6.131331738,05-01-2023,High,99.87353177,455,2752.039811
Whitefield,Residential,2018,5,50,200,27.19606504,94.11431499,17.34872298,6,0,5.903788202,24-04-2022,Low,149.0743432,27,19635.51483
Koramangala,Commercial,2015,7,66.10105334,483.3666126,7.847092732,75.09620878,3.962444896,11,1,15.71358754,27-02-2023,Low,135.5670681,469,11464.49707
Banashankari,Residential,2021,3,211.2941592,200,52.6178442,77.45426758,22.3536071,5,0,9.155380276,17-07-2023,High,166.135928,397,19799.11976
Hebbal,Commercial,2020,10,64.25868342,232.9664073,23.47683713,75.05753533,100,4,0,8.151429355,27-07-2024,Medium,108.6384528,439,23369.79055
